"Dr. Richard H. Linton has been named the 15th President of Kansas State University by the Kansas Board of Regents.

We welcome the Linton family to #KState and look forward to a promising future.",12/2/2021 11:06,"Congratulations
President Linton! We are all rooting for you. Welcome to the family.",Welcome Dr. Linton. Purple looks good on you!,Congrats Dr. Linton! Excited to have a land-grant alumnus leading our alma mater!,Welcome to KSU and Manhattan!,WOW! From my current university NC State University to my alma mater! Congrats Dr. Linton::: we will miss you at NCSU::: but I hope you fall in love with Kansas State University and Manhattan!,"Congratulations
and welcome to the #Family! 💜",Looks like a great choice!,"Congratulations
👏 👏!",Welcome to KSU,Welcome to Manhattan and KSU !,"Congratulations
and welcome to K-State!","Congratulations
Mr. President","Congratulations
Dr. Linton! All the best.","KANSAS ST. vs SOUTH CAROLINA
📺Watch live : http://
knoketv.realunit
edsports.com/
ncaa.php",Another old white man. That is surprising.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas State University Police Department
October 18 at 4:27 AM ·

As you leave home this morning remember that Kimball Ave. will be closed for road construction from Denison Ave. to North Manhattan Ave.

Please use alternative routes and plan for possible travel delays accordingly.

This is a long-term closure for road upgrades and replacement.",10/18/2021 13:54,please post a map,Just crazy this is being done during football season.. will be a nightmare for people coming in/exiting east.,Melinda Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K-State College of Business Administration
October 14 at 10:06 AM ·

Cydney Hemeyer is a senior at Kansas State University studying Marketing::: Leadership Studies::: and Business of Sports & Entertainment. She also serves as the Women in Business Student President.

""The women who will be speaking at this event were once in my shoes as a student and now they are making a change in their own professions as amazing leaders."" -- Cydney Hemeyer

For more information on the Women in Business Career Summit and to register please visit cba.ksu.edu/wib. Students use code WiB and educators use code CBA to waive registration fees.",10/14/2021 16:41,"Kansas State Wildcats vs West Virginia Mountaineers
Live On : http://
cbs-global.vipsp
ort4k.com/
ncaa.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-State Alerts: This is a test of the K-State Emergency Notification System.,10/13/2021 18:20,Forcing your employees to get the job should be considered an emergency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Don't forget::: a K-State Alert test will take place TODAY::: Oct. 13::: at 1:20 p.m. Notifications will be sent through all communication channels – including Alertus beacons and a push notification to the Rave Guardian app.

Details on how to opt-in to text notifications or change your settings is available at bit.ly/3v9IyNN.",10/13/2021 14:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Manhattan::: Kansas - Municipal Government
October 7 at 4:24 AM ·

🚧 Kimball Ave Closing October 18 🚧

Kimball Avenue will close from Denison Avenue to North Manhattan Avenue starting Monday::: October 18::: for the next phase of the North Campus Corridor Project. Both the road and the multi-use trail will be closed to the public within the project limits. Variable Message Boards (VMS) were installed on Monday::: October 4::: announcing closure. Detour signage and traffic control for vehicles and cyclists/pedestrians will be installed soon.

This phase is a total reconstruction of the street::: storm drainage system::: and sidewalks. The project will begin with relocation of telecommunication lines followed by demolition of the old cattle bridge.

This phase of the project will improve safety in this segment of the corridor through geometric improvements by widening the width of the street to include a raised::: center median between oncoming traffic along the curves of the roadway. This $4 million project is funded primarily through an Economic Development Grant from the Kansas Department of Transportation (KDOT).

The contractor::: Bayer Construction::: estimates partial completion of the project by mid-August 2022::: with one lane opening in each direction. Final completion is expected by December 2022::: weather permitting.

Find more info about projects at https://cityofmhk.maps.arcgis.com/apps/Shortlist/index.html?appid=2d62b22ee1a6433087a4d8ae209dc778",10/13/2021 13:15,Lainie Cowan,Albert Oyerly,Kent Robb,Nancy Hagman Kate Hagman Craig Betzold,Will Denison still be open?,Nile Osburn,Natalie Drouhard,Mike Harper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take the first step toward your future and apply to join K-State's community of gamechangers. Priority date for application and scholarship consideration is Dec. 1 for fall '22 incoming freshmen. Apply today at k-state.edu/apply.,10/11/2021 17:07,Assignment Musaeid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foggy #CaptureKState,10/7/2021 16:48,Beautiful campus 🥰💜,Austin Simmons,luv this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A K-State Alerts test is scheduled for 1:20 p.m. Wednesday::: Oct. 13. Notifications will be sent through all communication channels – including Alertus beacons and a push notification to the Rave Guardian app.

Details on how to opt-in to text notifications or change your settings is available at www.k-state.edu/today/announcement/?id=77472.",10/6/2021 15:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parents and students::: the Free Application for Federal Student Aid::: or FAFSA::: is now open. K-State's priority deadline to submit the FAFSA for the following academic year is Dec. 1.

If you have questions about the FAFSA application::: scholarships or other financial aspects of college::: attend a Wildcat Live Panel this Thursday::: Oct. 7. Experts from Student Financial Assistance and the Registrar's Office will be providing information::: tips and answering questions. Register at www.k-state.edu/parentsandfamily/wildcat-live/.",10/6/2021 0:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sights on the K-State campus.,10/5/2021 20:42,Amanuel D Mitiku,Celeste Hughes,Assignment Musaeid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future K-Staters::: experience a day as a Wildcat! Find the right event for you at www.k-state.edu/admissions/undergrad/manhattan/visit/events/.,9/30/2021 21:54,Assignment Musaeid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Let's get back to the movie theater and being comfortable sharing popcorn.

K-State Lafene offers COVID-19 vaccine appointments Monday-Friday. Learn more at k-state.edu/covid-19.",9/30/2021 15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
